tier,id,name,brand,subBrand,pitchKey,archetype,displayPriority,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason,differentiator1Title,differentiator1Detail,differentiator2Title,differentiator2Detail
gold,g1,Adapt 2.0 Medium,Tempur-Pedic,Adapt,,Adaptive memory-foam flagship,1,5,Medium,,,Memory Foam|Pressure Relief|Medium,Molds to you for deep pressure relief,no,pressureRelief|motionIsolation|support|medium,,,,,,,,,Memory foam that molds to your body for deep pressure relief.,TEMPUR material molds to you for pressure relief and zero motion transfer.,Slow-adapting TEMPUR contour,Settles closely around the body instead of pushing back like a springier bed.,Motion-absorbing all-foam feel,Keeps partner movement quieter than coil-forward designs.
gold,g2,Pro Breeze 2.0 Medium Hybrid,Tempur-Pedic,Pro Breeze,,Cooling adaptive hybrid,1,5,Medium,,,Cooling|Hybrid|Medium,"Adaptive comfort, hybrid support, all-night cooling",no,cooling|pressureRelief|support|hybrid|medium,,,,,,,,,Adaptive foam comfort with hybrid bounce and all-night cooling.,Sleeps cooler with TEMPUR comfort and responsive hybrid support.,TEMPUR contour with coil lift,Combines slow pressure relief on top with easier movement from the hybrid base.,Breeze-focused cooling,Built for a cooler feel than traditional deeply contouring foam.
gold,g3,Luxe Breeze 2.0 Firm,Tempur-Pedic,Luxe Breeze,,Top-tier cooling firmness,1,7,Firm,,,Cooling|Firm|Pressure Relief,"Our coolest TEMPUR, firm and supported",no,cooling|support|firm|pressureRelief,,,,,,,,,"Our coolest sleep with firm, fully-supported comfort.","Our coolest TEMPUR with firm, fully-supported all-night comfort.",Firmest Breeze feel,A stable 7/10 surface gives less sink while retaining TEMPUR contour.,Maximum Breeze cooling,The cooling-focused build is the defining step up within the Breeze line.
gold,g4,Lux Estate Firm,Stearns & Foster,Lux Estate,,Handcrafted firm luxury,1,7,Firm,,,Firm|Coil Support|Durable,"Handcrafted firm coil support, built to last",no,support|firm|durability|hybrid,,,,,,,,,"Firm, durable coil support handcrafted for lasting comfort.","Precision coils deliver firm, durable support built to last.",Handcrafted coil response,Precision coils create a structured feel with more lift than an all-foam mattress.,Firm durability focus,Designed to hold a stable supportive feel rather than deliver deep plush sink.
gold,g5,Reserve Medium,Stearns & Foster,Reserve,,Heirloom luxury comfort,1,5,Medium,,,Luxury Coil|Medium|Durable,Plush-yet-supported handcrafted luxury,no,support|pressureRelief|durability|medium,,,,,,,,,Premium coils and foams balanced for plush-yet-supported luxury.,"Handcrafted premium coils and foams for balanced, lasting luxury.",Plush-on-top luxury balance,Comfort layers soften the first impression while the coil system keeps it supported.,Heirloom-style construction,Premium foams and coils emphasize a substantial finished feel and long-term build.
gold,g6,Asha Luxe Plush,PranaSleep,Asha,,Talalay-latex wellness luxury,1,3,Plush,,,Talalay Latex|Plush|Durable,"All-latex plush comfort, championship durability",no,pressureRelief|plush|soft|durability,,,,,,,,,All-natural Talalay latex plushness with championship durability.,All-latex plush comfort with a warranty that outlasts the rest.,Talalay latex buoyancy,Feels springy and immediately responsive without the slow sink of memory foam.,All-latex durability,Uses resilient latex through the comfort build rather than a thin latex accent.
gold,g7,Rejuvenate,Purple,Rejuvenate,,Premium GelFlex grid,1,5,Medium,,,GelFlex Grid|Cooling|Responsive,"Cool, responsive GelFlex grid flagship",no,pressureRelief|responsive|cooling|support|medium,,,,,,,,,"Purple's flagship GelFlex grid - cool, responsive, pressure-free.","Purple's flagship grid for cooling, responsive, no-pressure sleep.",GelFlex grid response,The grid flexes directly under pressure points while staying supportive around them.,Floating open feel,Feels less enveloping than foam and allows easier movement across the surface.
gold,g8,Black Series Three Medium,Beautyrest,Black,,Premium pocketed-coil comfort,1,5,Medium,,,Pocketed Coil|Medium|Motion Isolation,"Luxury medium feel, premium coil support",no,support|pressureRelief|motionIsolation|medium,,,,,,,,,Luxury medium comfort over premium pocketed-coil support.,Luxury medium feel over Beautyrest's premium pocketed-coil support.,Premium pocketed-coil core,Individual coils provide defined support while limiting movement across the bed.,Luxury medium cushioning,Adds a more finished cushioned surface without losing the underlying coil response.
gold,g9,SmartLife Lotus 2.0,King Koil,SmartLife,,Dual-adjustable smart bed,1,5,Adjustable,,,Smart Adjustable|Dual Firmness|Zoned,"Smart dual-adjustable firmness, your way",no,support|motionIsolation|responsive|zoned,,,,,,,,,A smart bed that adjusts each side's firmness to you.,Dial in each side's firmness with app-controlled smart support.,Independent firmness by side,Each sleeper can tune their own side instead of compromising on one shared feel.,App-controlled adjustment,Firmness can be changed after purchase as comfort preferences evolve.
silver,s1,Purple Mattress,Purple,,,The original GelFlex grid,1,5,Medium,,,GelFlex Grid|Cooling|Responsive,"The original cooling, responsive Purple grid",no,pressureRelief|responsive|cooling|medium,,,,,,,,,"The original Purple grid - cooling, responsive, and adaptive.","Cooling, responsive grid comfort that adapts as you move.",Original GelFlex experience,The grid bends under pressure points and rebounds immediately as you move.,Simpler Purple profile,Delivers the distinctive floating grid feel without the thicker luxury build.
